Sport,Event,Location,date_start,date_end
Multi-sports,Winter Youth Olympics,"Lausanne, Switzerland",2020-01-09,2020-01-22
Tennis,Australian Open,"Melbourne, Australia",2020-01-20,2020-02-02
Extreme Sports,Winter X Games 24,"Aspen, Colorado, USA",2020-01-23,2020-01-26
Rugby Union,Six Nations,"UK, Ireland, France & Italy",2020-02-01,2020-03-14
Football (American),Super Bowl,"Miami Gardens, Florida",2020-02-02,2020-02-02
Multi-sports,IWAS World Games,"Nakhon Ratchasima, Thailand",2020-02-20,2020-02-28
Cricket,ICC World T20 (women),Australia,2020-02-21,2020-03-08
Cycling,World Track Championships,"Berlin, Germany",2020-02-26,2020-03-01
Snooker,World Snooker Championship,"Crucible Theatre in Sheffield, England",2020-07-31,2020-08-16
Golf,US PGA,"TPC Harding Park, San Francisco, California",2020-08-06,2020-08-09
Auto Racing,Indianapolis 500,"Indianapolis, USA",2020-08-23,2020-08-23
Football (Soccer),UEFA Champions League Final,"Estádio da Luz in Lisbon, Portugal",2020-08-23,2020-08-23
Cycling,Tour de France,France,2020-08-29,2020-09-20
Tennis,US Open,"New York, USA",2020-08-31,2020-09-13
Horse Racing,Kentucky Derby,"Louisville, Kentucky, US",2020-09-05,2020-09-05
Golf,US Open,"Winged Foot Golf Club, Mamaroneck, New York",2020-09-17,2020-09-20
Auto Racing,88th 24 Hours of Le Mans,"Circuit de la Sarthe, Le Mans, France",2020-09-19,2020-09-20
Ice Hockey,Stanley Cup finals,"Rogers Place, Edmonton, Alberta, Canada",2020-09-19,2020-09-28
Cycling,UCI Road World Championships,"Aigle and Martigny, Switzerland Imola, Italy",2020-09-24,2020-09-27
Tennis,French Open,"Paris, France",2020-09-27,2020-10-11
Basketball,NBA Finals,"ESPN Wide World of Sports Complex, Walt Disney World, Florida, USA",2020-09-30,2020-10-11
Baseball,World Series,"Globe Life Field in Arlington, Texas",2020-10-20,2020-10-28
AFL,Grand Final,"Melbourne, Australia",2020-10-24,2020-10-24
Rugby League,NRL Grand Final,"Sydney Cricket Ground, Australia",2020-10-25,2020-10-25
Horse Racing,Melbourne Cup,"Victoria, Australia",2020-11-03,2020-11-03
Golf,Masters,"Augusta, USA",2020-11-12,2020-11-15
Handball,World Championships (men),Egypt,2021-01-13,2021-01-31
Extreme Sports,Winter X Games 25,"Aspen, Colorado, USA",2021-01-29,2021-01-31
Football (Soccer),2020 FIFA Club World Cup,"Doha, Qatar",2021-02-04,2021-02-11
Rugby,Six Nations,"UK, Ireland, France & Italy",2021-02-06,2021-03-20
Football (American),Super Bowl,"Raymond James Stadium, Tampa, Florida",2021-02-07,2021-02-07
Tennis,Australian Open,"Melbourne, Australia",2021-02-08,2021-02-21
Skiing,World Alpine Ski Championships,"Cortina d'Ampezzo, Italy",2021-02-08,2021-02-21
Skiing (Nordic),Nordic World Ski Championships,"Oberstdorf, Germany",2021-02-23,2021-03-07
Sailing,America's Cup,"Waitemata Harbour, New Zealand",2021-03-06,2021-03-21
Golf,Masters,"Augusta, Georgia, USA",2021-04-08,2021-04-11
Horse Racing,Grand National,Aintree Racecourse in Liverpool,2021-04-10,2021-04-10
Snooker,World Snooker Championship,"Crucible Theatre in Sheffield, England",2021-04-17,2021-05-03
Horse Racing,Kentucky Derby,"Louisville, Kentucky, US",2021-05-01,2021-05-01
Football (Soccer),FA Cup final,"Wembley Stadium, London",2021-05-15,2021-05-15
Golf,US PGA,"Kiawah Island Golf Resort, Ocean Course, Kiawah Island, SC",2021-05-20,2021-05-23
Ice Hockey,IIHF World Championship,"Riga, Latvia",2021-05-21,2021-06-06
Football (Soccer),UEFA Champions League Final,"Estádio do Dragão, Porto, Portugal",2021-05-29,2021-05-29
Auto Racing,Indianapolis 500,"Indianapolis, USA",2021-05-30,2021-05-30
Tennis,French Open,"Paris, France",2021-05-30,2021-06-13
Football (Soccer),Euro 2020,"tournament played across Europe, the final in London UK.",2021-06-11,2021-07-11
Football (Soccer),47th Copa América,"Argentina, Colombia Brazil",2021-06-13,2021-07-10
Golf,US Open,"Torrey Pines Golf Course, La Jolla, California",2021-06-17,2021-06-20
Cycling,Tour de France,France,2021-06-26,2021-07-18
Ice Hockey,Stanley Cup finals,Montreal & Tampa,2021-06-28,2021-07-07
Tennis,Wimbledon,"London, England",2021-06-28,2021-07-11
Basketball,NBA Finals,Milwaukee & Phoenix,2021-07-06,2021-07-20
Extreme Sports,Summer X Games,Southern California,2021-07-14,2021-07-18
Golf,The Open Championship,Royal St George's Golf Club	Sandwich	Kent	England,2021-07-15,2021-07-18
Multi-sports,Summer Olympics,"Tokyo, Japan",2021-07-23,2021-08-08
Auto Racing,89th 24 Hours of Le Mans,"Circuit de la Sarthe, Le Mans, France",2021-08-21,2021-08-22
Multi-sports,Paralympic Games,"Tokyo, Japan",2021-08-24,2021-09-05
Tennis,US Open,"New York, USA",2021-08-30,2021-09-12
Golf,Solheim Cup,"Toledo, Ohio, USA",2021-09-04,2021-09-06
Cycling,UCI Road World Championships,"Bruges and Leuven, Belgium",2021-09-19,2021-09-26
Golf,Ryder Cup,"Whistling Straits (Haven, Wisconsin)",2021-09-24,2021-09-26
AFL,Grand Final,"Perth, WA",2021-09-25,2021-09-25
Rugby League,NRL Grand Final,"Sydney Cricket Ground, Australia",2021-10-03,2021-10-03
Cricket,ICC World T20 (men),UAE and Oman,2021-10-17,2021-11-14
Cycling,World Track Championships,"Achgabat, Turkmenistan Roubaix, France",2021-10-20,2021-10-24
Baseball,World Series,"Truist Park (Atlanta), Minute Maid Park (Houston)",2021-10-26,2021-11-02
Boxing,AIBA World Championships (men),"Belgrade, Serbia",2021-10-25,2021-11-06
Horse Racing,Melbourne Cup,"Victoria, Australia",2021-11-02,2021-11-02
Table Tennis,World Championship,"Houston, United States",2021-11-23,2021-11-29
Handball,World Championships (women),Spain,2021-12-02,2021-12-19
Weightlifting,World Championships,"Tashkent, Uzbekistan",2021-12-07,2021-12-17
Multi-sports,Winter FISU World University Games,"Lucerne, Switzerland",2021-12-11,2021-12-21
Swimming,FINA World Swimming Championships (25m),"Abu Dhabi, UAE",2021-12-16,2021-12-21
Football (Soccer),Africa Cup of Nations,Cameroon,2022-01-09,2022-02-06
Tennis,Australian Open,"Melbourne, Australia",2022-01-17,2022-01-30
Extreme Sports,Winter X Games 26,"Aspen, Colorado, USA",2022-01-21,2022-01-23
Multi-sports,Winter Olympics,"Beijing, China",2022-02-04,2022-02-20
Rugby,Six Nations,"UK, Ireland, France & Italy",2022-02-05,2022-03-19
Football (American),Super Bowl,"Inglewood, California",2022-02-13,2022-02-13
Multi-sports,Winter Paralympics,"Beijing, China",2022-03-04,2022-03-13
Cricket,ODI World Cup for women,New Zealand,2022-03-04,2022-04-03
Multi-sports,Winter Military World Games,"Berchtesgaden and Ruhpolding, Germany",2022-03-22,2022-03-27
Golf,Masters,"Augusta, Georgia, USA",2022-04-07,2022-04-10
Horse Racing,Grand National,Aintree Racecourse in Liverpool,2022-04-09,2022-04-09
Multi-sports,Invictus Games,"The Hague, Netherlands",2022-04-16,2022-04-22
Snooker,World Snooker Championship,"Crucible Theatre in Sheffield, England",2022-04-16,2022-05-02
Horse Racing,Kentucky Derby,"Louisville, Kentucky, US",2022-05-07,2022-05-07
Multi-sports,South-East Asian Games,"Hanoi, Vietnam",2022-05-12,2022-05-23
Multi-sports,World Masters Games (Summer),"Kansai, Japan",2022-05-13,2022-05-29
Ice Hockey,IIHF World Championship,Finland,2022-05-13,2022-05-29
Golf,US PGA,"Southern Hills Country Club,
Tulsa, Oklahoma",2022-05-19,2022-05-22
Tennis,French Open,"Paris, France",2022-05-22,2022-06-05
Football (Soccer),UEFA Champions League Final,"Stade de France, Saint-Denis, France",2022-05-28,2022-05-28
Auto Racing,Indianapolis 500,"Indianapolis, USA",2022-05-29,2022-05-29
Basketball,NBA Finals,Boston & San Francisco,2022-06-02,2022-06-16
Ice Hockey,Stanley Cup finals,"Tampa & Denver, USA",2022-06-15,2022-06-28
Golf,US Open,"The Country Club	Brookline, Massachusetts",2022-06-16,2022-06-19
Swimming,World Aquatics Championships,"Budapest, Hungary",2022-06-18,2022-07-03
Tennis,Wimbledon,"London, England",2022-06-27,2022-07-10
Field Hockey,Women's FIH Hockey World Cup,"Terrassa, Spain and Amstelveen, Netherlands",2022-07-01,2022-07-17
Cycling,Tour de France,France,2022-07-01,2022-07-24
Multi-sports,World Games,"Birmingham, Alabama, USA",2022-07-07,2022-07-17
Golf,The Open Championship,Old Course at St Andrews	St Andrews	Fife	Scotland,2022-07-14,2022-07-17
Athletics,IAAF World Championships,"Eugene, Oregon USA",2022-07-15,2022-07-24
Extreme Sports,Summer X Games,"California, USA",2022-07-20,2022-07-24
Multi-sports,World Police and Fire Games,"Rotterdam, South Holland, Netherlands",2022-07-22,2022-07-31
Cycling,Tour de France Femmes,France,2022-07-24,2022-07-31
Multi-sports,Commonwealth Games,"Birmingham, England",2022-07-28,2022-08-08
American Football,IFAF Women's American Football Championships,Vantaa Finland,2022-07-28,2022-08-08
Equestrian,FEI World Equestrian Games,"Herning, Denmark",2022-08-06,2022-08-14
Multi-sports,Islamic Solidarity Games,"Konya, Türkiye",2022-08-09,2022-08-18
Multi-sports,European Sports Championships,"Munich, Germany",2022-08-11,2022-08-21
Volleyball,World Volleyball Championships (men),Poland & Slovenia,2022-08-26,2022-09-11
Tennis,US Open,"New York, USA",2022-08-29,2022-09-11
Rugby 7s,Rugby World Cup Sevens,"Cape Town, South Africa",2022-09-09,2022-09-11
Cycling,UCI Road World Championships,"Wollongong, Australia",2022-09-18,2022-09-25
Rowing,World Rowing Championships,"Račice, Czechia",2022-09-18,2022-09-25
Golf,Presidents Cup,"Quail Hollow Club, Charlotte, North Carolina",2022-09-19,2022-09-25
Basketball,FIBA Women's Basketball World Cup,"Sydney, Australia",2022-09-22,2022-10-01
Volleyball,World Volleyball Championships (women),Netherlands & Poland,2022-09-23,2022-10-15
AFL,Grand Final,"Melbourne, Australia",2022-09-24,2022-09-24
Table Tennis,World Championship,"Chengdu, China",2022-09-30,2022-10-09
Multi-Sports,South American Games,"Asunción, Paraguay",2022-10-01,2022-10-15
Rugby League,NRL Grand Final,Sydney,2022-10-02,2022-10-02
Rugby,Womens World Cup,New Zealand,2022-10-08,2022-11-12
Cycling,World Track Championships,"Montigny-le-Bretonneux, France",2022-10-12,2022-10-16
Rugby League,World Cup,England,2022-10-15,2022-11-19
Cricket,ICC World T20 (men),Australia,2022-10-16,2022-11-13
Baseball,World Series,"Philadelphia and Houston, USA",2022-10-28,2022-11-05
Horse Racing,Melbourne Cup,"Victoria, Australia",2022-11-01,2022-11-01
Football (Soccer),FIFA World Cup,Qatar,2022-11-21,2022-12-18
Weightlifting,World Championships,"Chongqing, China Bogota, Colombia",2022-12-05,2022-12-16
Swimming,FINA World Swimming Championships (25m),"Kazan, Russia Melbourne, Australia",2022-12-13,2022-12-18
